location_id,country_name
1,India
2,United States
3,Poland
4,United Kingdom
5,Canada
6,Germany
7,Argentina
8,Brazil
9,Mexico
10,Georgia
11,Belgium
12,France
13,Netherlands
14,Colombia
15,Dominican Republic
16,Egypt
17,Ethiopia
18,Panama
19,South Africa
20,United Arab Emirates
21,Yemen
22,Turkey
23,Latvia
24,Anguilla
25,Antigua and Barbuda
26,Aruba
27,Bahamas
28,Barbados
29,Belize
30,Bermuda
31,Bolivia
32,"Bonaire, Sint Eustatius and Saba"
33,Cayman Islands
34,Chile
35,Costa Rica
36,Cuba
37,Curaçao
38,Dominica
39,Ecuador
40,El Salvador
41,Falkland Islands (Malvinas)
42,French Guiana
43,Greenland
44,Grenada
45,Guadeloupe
46,Guatemala
47,Guyana
48,Haiti
49,Honduras
50,Jamaica
51,Martinique
52,Montserrat
53,Nicaragua
54,Paraguay
55,Peru
56,Puerto Rico
57,Saint Barthélemy
58,Saint Kitts and Nevis
59,Saint Lucia
60,Saint Martin (French part)
61,Saint Pierre and Miquelon
62,Saint Vincent and the Grenadines
63,Sint Maarten (Dutch part)
64,South Georgia and the South Sandwich Islands
65,Suriname
66,Trinidad and Tobago
67,Turks and Caicos Islands
68,United States Minor Outlying Islands
69,Uruguay
70,Venezuela
71,"Virgin Islands, British"
72,"Virgin Islands, U.S."
73,Philippines
74,Austria
75,Singapore
76,New Zealand
77,Spain
78,Ukraine
79,Armenia
80,Australia
81,Cyprus
82,Hong Kong
83,Indonesia
84,Israel
85,Japan
86,Kazakhstan
87,Malta
88,Montenegro
89,Portugal
90,Serbia
91,Thailand
92,Bulgaria
93,Czechia
94,Hungary
95,Ireland
96,Lithuania
97,Romania
98,Sweden
99,Switzerland
100,Luxembourg
101,Ghana
102,Bangladesh
103,China
104,Italy
105,Norway
106,Pakistan
107,South Korea
108,Malaysia
109,Kenya
110,Morocco
111,Denmark
112,Finland
113,Afghanistan
114,Algeria
115,Angola
116,Bahrain
117,Bhutan
118,Botswana
119,Burundi
120,Cambodia
121,Cameroon
122,"Congo, The Democratic Republic of the"
123,Greece
124,Iran
125,Iraq
126,Jordan
127,Kuwait
128,Lao People's Democratic Republic
129,Lebanon
130,Madagascar
131,Mozambique
132,Myanmar
133,Namibia
134,Nepal
135,Nigeria
136,Oman
137,"Palestine, State of"
138,Qatar
139,Russian Federation
140,Rwanda
141,Saudi Arabia
142,Senegal
143,Sri Lanka
144,Sudan
145,Syrian Arab Republic
146,Tanzania
147,Tunisia
148,Uganda
149,Vietnam
150,Zimbabwe
